Date;DayOfWeek;Name;Type
2023 1 jan;dimanche;New Year's Day;National holiday
2023 11 jan;mercredi;Anniversary of the Independence Manifesto;National holiday
2023 14 jan;samedi;Amazigh New Year;Observance
2023 19 mar;dimanche;Daylight Saving Time ends;Clock change/Daylight Saving Time
2023 20 mar;lundi;March Equinox;Season
2023 23 mar;jeudi;Ramadan Start;Observance
2023 22 avr;samedi;Eid al-Fitr;National holiday
2023 23 avr;dimanche;Eid al-Fitr holiday;National holiday
2023 23 avr;dimanche;Daylight Saving Time starts;Clock change/Daylight Saving Time
2023 24 avr;lundi;Eid al-Fitr holiday;Government Holiday
2023 1 mai;lundi;Labour Day/May Day;National holiday
2023 21 juin;mercredi;June Solstice;Season
2023 29 juin;jeudi;Eid al-Adha;National holiday
2023 30 juin;vendredi;Eid al-Adha Holiday;National holiday
2023 19 juil;mercredi;Hijra New Year;National holiday
2023 30 juil;dimanche;Feast of the Throne;National holiday
2023 14 aoû;lundi;Anniversary of the Recovery Oued Ed-Dahab;National holiday
2023 20 aoû;dimanche;Anniversary of the Revolution of the King and the People;National holiday
2023 21 aoû;lundi;Youth Day;National holiday
2023 23 sep;samedi;September Equinox;Season
2023 28 sep;jeudi;The Prophet Muhammad's Birthday;National holiday
2023 29 sep;vendredi;The Prophet Muhammad's Birthday Holiday;National holiday
2023 6 nov;lundi;Anniversary of the Green March;National holiday
2023 18 nov;samedi;Independence Day;National holiday
2023 22 déc;vendredi;December Solstice;Season
